intersection_id,tollgate_id,time_window,avg_travel_time
B,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",129.19
B,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",129.19
B,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",129.19
B,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",129.99
B,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",129.99
B,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",129.99
B,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",109.47
B,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.47
B,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.47
B,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.72
B,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",109.72
B,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",109.72
B,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",111.4
B,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",111.4
B,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",111.4
B,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",111.63
B,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",111.63
B,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",111.63
B,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",120.18
B,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",120.18
B,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",120.18
B,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",120.65
B,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",120.65
B,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",120.65
B,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",153.01
B,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",153.01
B,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",153.01
B,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",154.42
B,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",154.42
B,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",154.42
B,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",109.98
B,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",109.98
B,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",109.98
B,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",110.21
B,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",110.21
B,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",110.21
B,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",142.29
B,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",142.29
B,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",142.29
B,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",143.68
B,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",143.68
B,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",143.68
B,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",120.31
B,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",120.31
B,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",120.31
B,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",120.72
B,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",120.72
B,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",120.72
B,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",115.07
B,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",115.07
B,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",115.07
B,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.46
B,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",115.46
B,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",115.46
B,1,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",114.16
B,1,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",114.16
B,1,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.16
B,1,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",114.24
B,1,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.24
B,1,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.24
B,1,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",126.04
B,1,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",126.04
B,1,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",126.04
B,1,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",126.6
B,1,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",126.6
B,1,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.6
B,1,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",123.86
B,1,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.86
B,1,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",123.86
B,1,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.5
B,1,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",124.5
B,1,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",124.5
B,1,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.68
B,1,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",112.68
B,1,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.68
B,1,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",112.87
B,1,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",112.87
B,1,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",112.87
B,1,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.66
B,1,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",123.66
B,1,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",123.66
B,1,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.29
B,1,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",124.29
B,1,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.29
B,1,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",129.26
B,1,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",129.26
B,1,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",129.26
B,1,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",130.05
B,1,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",130.05
B,1,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",130.05
B,1,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",109.56
B,1,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.56
B,1,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.56
B,1,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.8
B,1,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",109.8
B,1,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",109.8
B,1,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",111.48
B,1,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",111.48
B,1,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",111.48
B,1,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",111.71
B,1,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",111.71
B,1,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",111.71
B,1,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",120.27
B,1,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",120.27
B,1,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",120.27
B,1,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",120.74
B,1,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",120.74
B,1,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",120.74
B,1,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",153.08
B,1,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",153.08
B,1,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",153.08
B,1,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",154.47
B,1,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",154.47
B,1,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",154.47
B,1,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",110.06
B,1,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",110.06
B,1,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",110.06
B,1,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",110.29
B,1,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",110.29
B,1,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",110.29
B,1,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",142.3
B,1,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",142.3
B,1,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",142.3
B,1,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",143.65
B,1,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",143.65
B,1,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",143.65
B,1,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",120.4
B,1,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",120.4
B,1,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",120.4
B,1,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",120.8
B,1,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",120.8
B,1,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",120.8
B,1,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",115.22
B,1,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",115.22
B,1,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",115.22
B,1,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.61
B,1,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",115.61
B,1,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",115.61
A,2,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",114.02
A,2,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",114.02
A,2,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.02
A,2,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",114.06
A,2,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.06
A,2,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.06
A,2,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",125.9
A,2,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",125.9
A,2,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",125.9
A,2,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",126.45
A,2,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",126.45
A,2,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.45
A,2,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",123.68
A,2,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.68
A,2,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",123.68
A,2,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.32
A,2,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",124.32
A,2,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",124.32
A,2,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.51
A,2,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",112.51
A,2,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.51
A,2,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",112.71
A,2,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",112.71
A,2,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",112.71
A,2,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.47
A,2,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",123.47
A,2,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",123.47
A,2,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.11
A,2,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",124.11
A,2,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.11
A,2,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",129.11
A,2,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",129.11
A,2,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",129.11
A,2,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",129.87
A,2,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",129.87
A,2,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",129.87
A,2,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",109.41
A,2,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.41
A,2,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.41
A,2,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.65
A,2,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",109.65
A,2,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",109.65
A,2,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",111.33
A,2,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",111.33
A,2,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",111.33
A,2,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",111.56
A,2,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",111.56
A,2,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",111.56
A,2,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",120.1
A,2,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",120.1
A,2,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",120.1
A,2,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",120.57
A,2,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",120.57
A,2,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",120.57
A,2,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",152.93
A,2,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",152.93
A,2,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",152.93
A,2,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",154.31
A,2,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",154.31
A,2,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",154.31
A,2,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",109.91
A,2,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",109.91
A,2,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",109.91
A,2,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",110.14
A,2,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",110.14
A,2,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",110.14
A,2,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",142.2
A,2,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",142.2
A,2,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",142.2
A,2,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",143.54
A,2,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",143.54
A,2,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",143.54
A,2,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",120.22
A,2,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",120.22
A,2,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",120.22
A,2,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",120.63
A,2,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",120.63
A,2,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",120.63
A,2,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",115.03
A,2,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",115.03
A,2,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",115.03
A,2,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.42
A,2,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",115.42
A,2,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",115.42
A,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",113.98
A,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",113.98
A,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",113.98
A,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",114.03
A,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.03
A,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.03
A,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",125.87
A,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",125.87
A,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",125.87
A,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",126.42
A,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",126.42
A,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.42
A,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",123.63
A,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.63
A,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",123.63
A,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.28
A,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",124.28
A,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",124.28
A,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.46
A,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",112.46
A,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.46
A,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",112.67
A,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",112.67
A,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",112.67
A,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.43
A,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",123.43
A,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",123.43
A,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.07
A,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",124.07
A,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.07
A,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",129.07
A,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",129.07
A,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",129.07
A,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",129.84
A,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",129.84
A,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",129.84
A,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",109.36
A,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.36
A,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.36
A,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.61
A,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",109.61
A,3,"[2016-10-21 09:40:00,2016-10-21 10:00:00)",109.61
A,3,"[2016-10-21 17:00:00,2016-10-21 17:20:00)",111.29
A,3,"[2016-10-21 17:20:00,2016-10-21 17:40:00)",111.29
A,3,"[2016-10-21 17:40:00,2016-10-21 18:00:00)",111.29
A,3,"[2016-10-21 18:00:00,2016-10-21 18:20:00)",111.51
A,3,"[2016-10-21 18:20:00,2016-10-21 18:40:00)",111.51
A,3,"[2016-10-21 18:40:00,2016-10-21 19:00:00)",111.51
A,3,"[2016-10-22 08:00:00,2016-10-22 08:20:00)",120.05
A,3,"[2016-10-22 08:20:00,2016-10-22 08:40:00)",120.05
A,3,"[2016-10-22 08:40:00,2016-10-22 09:00:00)",120.05
A,3,"[2016-10-22 09:00:00,2016-10-22 09:20:00)",120.52
A,3,"[2016-10-22 09:20:00,2016-10-22 09:40:00)",120.52
A,3,"[2016-10-22 09:40:00,2016-10-22 10:00:00)",120.52
A,3,"[2016-10-22 17:00:00,2016-10-22 17:20:00)",152.89
A,3,"[2016-10-22 17:20:00,2016-10-22 17:40:00)",152.89
A,3,"[2016-10-22 17:40:00,2016-10-22 18:00:00)",152.89
A,3,"[2016-10-22 18:00:00,2016-10-22 18:20:00)",154.28
A,3,"[2016-10-22 18:20:00,2016-10-22 18:40:00)",154.28
A,3,"[2016-10-22 18:40:00,2016-10-22 19:00:00)",154.28
A,3,"[2016-10-23 08:00:00,2016-10-23 08:20:00)",109.87
A,3,"[2016-10-23 08:20:00,2016-10-23 08:40:00)",109.87
A,3,"[2016-10-23 08:40:00,2016-10-23 09:00:00)",109.87
A,3,"[2016-10-23 09:00:00,2016-10-23 09:20:00)",110.1
A,3,"[2016-10-23 09:20:00,2016-10-23 09:40:00)",110.1
A,3,"[2016-10-23 09:40:00,2016-10-23 10:00:00)",110.1
A,3,"[2016-10-23 17:00:00,2016-10-23 17:20:00)",142.19
A,3,"[2016-10-23 17:20:00,2016-10-23 17:40:00)",142.19
A,3,"[2016-10-23 17:40:00,2016-10-23 18:00:00)",142.19
A,3,"[2016-10-23 18:00:00,2016-10-23 18:20:00)",143.55
A,3,"[2016-10-23 18:20:00,2016-10-23 18:40:00)",143.55
A,3,"[2016-10-23 18:40:00,2016-10-23 19:00:00)",143.55
A,3,"[2016-10-24 08:00:00,2016-10-24 08:20:00)",120.17
A,3,"[2016-10-24 08:20:00,2016-10-24 08:40:00)",120.17
A,3,"[2016-10-24 08:40:00,2016-10-24 09:00:00)",120.17
A,3,"[2016-10-24 09:00:00,2016-10-24 09:20:00)",120.58
A,3,"[2016-10-24 09:20:00,2016-10-24 09:40:00)",120.58
A,3,"[2016-10-24 09:40:00,2016-10-24 10:00:00)",120.58
A,3,"[2016-10-24 17:00:00,2016-10-24 17:20:00)",114.95
A,3,"[2016-10-24 17:20:00,2016-10-24 17:40:00)",114.95
A,3,"[2016-10-24 17:40:00,2016-10-24 18:00:00)",114.95
A,3,"[2016-10-24 18:00:00,2016-10-24 18:20:00)",115.35
A,3,"[2016-10-24 18:20:00,2016-10-24 18:40:00)",115.35
A,3,"[2016-10-24 18:40:00,2016-10-24 19:00:00)",115.35
C,3,"[2016-10-18 08:00:00,2016-10-18 08:20:00)",114.19
C,3,"[2016-10-18 08:20:00,2016-10-18 08:40:00)",114.19
C,3,"[2016-10-18 08:40:00,2016-10-18 09:00:00)",114.19
C,3,"[2016-10-18 09:00:00,2016-10-18 09:20:00)",114.26
C,3,"[2016-10-18 09:20:00,2016-10-18 09:40:00)",114.26
C,3,"[2016-10-18 09:40:00,2016-10-18 10:00:00)",114.26
C,3,"[2016-10-18 17:00:00,2016-10-18 17:20:00)",126.1
C,3,"[2016-10-18 17:20:00,2016-10-18 17:40:00)",126.1
C,3,"[2016-10-18 17:40:00,2016-10-18 18:00:00)",126.1
C,3,"[2016-10-18 18:00:00,2016-10-18 18:20:00)",126.66
C,3,"[2016-10-18 18:20:00,2016-10-18 18:40:00)",126.66
C,3,"[2016-10-18 18:40:00,2016-10-18 19:00:00)",126.66
C,3,"[2016-10-19 08:00:00,2016-10-19 08:20:00)",123.91
C,3,"[2016-10-19 08:20:00,2016-10-19 08:40:00)",123.91
C,3,"[2016-10-19 08:40:00,2016-10-19 09:00:00)",123.91
C,3,"[2016-10-19 09:00:00,2016-10-19 09:20:00)",124.56
C,3,"[2016-10-19 09:20:00,2016-10-19 09:40:00)",124.56
C,3,"[2016-10-19 09:40:00,2016-10-19 10:00:00)",124.56
C,3,"[2016-10-19 17:00:00,2016-10-19 17:20:00)",112.72
C,3,"[2016-10-19 17:20:00,2016-10-19 17:40:00)",112.72
C,3,"[2016-10-19 17:40:00,2016-10-19 18:00:00)",112.72
C,3,"[2016-10-19 18:00:00,2016-10-19 18:20:00)",112.91
C,3,"[2016-10-19 18:20:00,2016-10-19 18:40:00)",112.91
C,3,"[2016-10-19 18:40:00,2016-10-19 19:00:00)",112.91
C,3,"[2016-10-20 08:00:00,2016-10-20 08:20:00)",123.71
C,3,"[2016-10-20 08:20:00,2016-10-20 08:40:00)",123.71
C,3,"[2016-10-20 08:40:00,2016-10-20 09:00:00)",123.71
C,3,"[2016-10-20 09:00:00,2016-10-20 09:20:00)",124.34
C,3,"[2016-10-20 09:20:00,2016-10-20 09:40:00)",124.34
C,3,"[2016-10-20 09:40:00,2016-10-20 10:00:00)",124.34
C,3,"[2016-10-20 17:00:00,2016-10-20 17:20:00)",129.29
C,3,"[2016-10-20 17:20:00,2016-10-20 17:40:00)",129.29
C,3,"[2016-10-20 17:40:00,2016-10-20 18:00:00)",129.29
C,3,"[2016-10-20 18:00:00,2016-10-20 18:20:00)",130.11
C,3,"[2016-10-20 18:20:00,2016-10-20 18:40:00)",130.11
C,3,"[2016-10-20 18:40:00,2016-10-20 19:00:00)",130.11
C,3,"[2016-10-21 08:00:00,2016-10-21 08:20:00)",109.59
C,3,"[2016-10-21 08:20:00,2016-10-21 08:40:00)",109.59
C,3,"[2016-10-21 08:40:00,2016-10-21 09:00:00)",109.59
C,3,"[2016-10-21 09:00:00,2016-10-21 09:20:00)",109.83
C,3,"[2016-10-21 09:20:00,2016-10-21 09:40:00)",109.83
