,intersection_id,tollgate_id,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hour,week,minute,travel_time
163,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,10,3,0,124.352608696
164,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,11,3,0,51.8536
180,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,12,3,0,53.3178571429
181,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,13,3,0,69.7628205128
182,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,14,3,0,58.5403448276
198,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,15,3,0,66.822962963
199,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,16,3,0,72.325862069
200,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,17,3,0,75.0057142857
215,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,18,3,0,78.6070731707
216,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,19,3,0,72.8318518519
217,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,20,3,0,79.214
231,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,21,3,0,68.0065
232,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,22,3,0,54.7261538462
233,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,23,3,0,53.7325
246,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,0,4,0,39.21
247,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,1,4,0,57.7983333333
248,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,2,4,0,45.3866666667
254,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,3,4,0,59.9744444444
255,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,4,4,0,57.2775
256,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,5,4,0,54.396
263,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,6,4,0,69.95
264,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,7,4,0,99.8276190476
265,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,8,4,0,109.1766
280,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,9,4,0,89.2427272727
281,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,10,4,0,71.511
282,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,11,4,0,72.0076470588
295,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,12,4,0,70.3513888889
296,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,13,4,0,67.8575675676
297,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,14,4,0,61.7653571429
313,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,15,4,0,58.6381081081
314,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,16,4,0,75.7835897436
315,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,17,4,0,84.1229411765
331,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,18,4,0,67.3339285714
332,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,19,4,0,65.3322222222
333,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,20,4,0,58.3820833333
345,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,21,4,0,56.051
346,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,22,4,0,52.7478571429
347,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,23,4,0,66.52125
361,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,0,5,0,52.2446666667
362,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,1,5,0,50.1433333333
363,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,2,5,0,40.0
372,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,3,5,0,52.2671428571
373,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,4,5,0,56.2869230769
374,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,5,5,0,55.9707692308
384,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,6,5,0,61.1222222222
385,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,7,5,0,99.5648571429
386,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,8,5,0,74.5117391304
399,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,9,5,0,68.4866666667
400,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,10,5,0,100.368285714
401,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,11,5,0,51.5433333333
417,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,12,5,0,76.7867857143
418,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,13,5,0,65.291025641
419,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,14,5,0,90.0422
435,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,15,5,0,74.5616216216
436,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,16,5,0,72.1398245614
437,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,17,5,0,99.3170909091
453,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,18,5,0,77.931025641
454,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,19,5,0,77.9975675676
455,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,20,5,0,86.5254166667
470,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,21,5,0,86.3966666667
471,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,22,5,0,47.2566666667
472,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,23,5,0,74.431
485,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,6,6,0,157.862307692
486,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,7,6,0,90.2465625
487,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,8,6,0,91.3703225806
503,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,9,6,0,150.618852459
504,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,10,6,0,116.654615385
505,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,11,6,0,104.467567568
520,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,12,6,0,66.7569230769
521,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,13,6,0,68.922244898
522,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,14,6,0,82.0653846154
538,1,2,1001.9,1006.6,150.0,1.2,33.6,61.0,0.0,15,6,0,103.446521739
539,1,2,1001.9,1006.6,150.0,1.2,33.6,61.0,0.0,16,6,0,103.384210526
540,1,2,1001.9,1006.6,150.0,1.2,33.6,61.0,0.0,17,6,0,70.7176923077
556,1,2,1001.6,1006.3,213.0,1.1,31.1,71.0,0.0,18,6,0,80.4536363636
557,1,2,1001.6,1006.3,213.0,1.1,31.1,71.0,0.0,19,6,0,68.9720833333
558,1,2,1001.6,1006.3,213.0,1.1,31.1,71.0,0.0,20,6,0,61.15375
574,1,2,1002.0,1006.8,223.0,1.8,29.0,82.0,0.0,21,6,0,63.3933333333
575,1,2,1002.0,1006.8,223.0,1.8,29.0,82.0,0.0,22,6,0,81.238
576,1,2,1002.0,1006.8,223.0,1.8,29.0,82.0,0.0,23,6,0,52.236
589,1,2,1003.2,1008.0,225.0,1.2,32.1,70.0,0.0,0,7,0,65.271
590,1,2,1003.2,1008.0,225.0,1.2,32.1,70.0,0.0,1,7,0,46.8533333333
591,1,2,1003.2,1008.0,225.0,1.2,32.1,70.0,0.0,2,7,0,48.702
601,1,2,1003.3,1008.0,181.0,1.9,36.8,52.0,0.0,3,7,0,33.224
602,1,2,1003.3,1008.0,181.0,1.9,36.8,52.0,0.0,4,7,0,72.0866666667
603,1,2,1003.3,1008.0,181.0,1.9,36.8,52.0,0.0,5,7,0,45.4733333333
613,1,2,1001.6,1006.3,285.0,1.7,38.8,40.0,0.0,6,7,0,53.52875
614,1,2,1001.6,1006.3,285.0,1.7,38.8,40.0,0.0,7,7,0,74.3613636364
615,1,2,1001.6,1006.3,285.0,1.7,38.8,40.0,0.0,8,7,0,67.3989655172
630,1,2,1001.0,1005.8,177.0,0.9,39.4,38.0,0.0,9,7,0,68.5767857143
631,1,2,1001.0,1005.8,177.0,0.9,39.4,38.0,0.0,10,7,0,63.424
632,1,2,1001.0,1005.8,177.0,0.9,39.4,38.0,0.0,11,7,0,68.1814705882
648,1,2,1001.8,1006.6,96.0,2.1,35.0,61.0,0.0,12,7,0,61.544137931
649,1,2,1001.8,1006.6,96.0,2.1,35.0,61.0,0.0,13,7,0,61.8262962963
650,1,2,1001.8,1006.6,96.0,2.1,35.0,61.0,0.0,14,7,0,68.4370212766
666,1,2,1003.0,1007.7,190.0,1.4,33.3,65.0,0.0,15,7,0,65.4877142857
667,1,2,1003.0,1007.7,190.0,1.4,33.3,65.0,0.0,16,7,0,71.9706060606
668,1,2,1003.0,1007.7,190.0,1.4,33.3,65.0,0.0,17,7,0,65.4994736842
683,1,2,1002.2,1006.9,113.0,0.5,31.1,72.0,0.0,18,7,0,69.9904
684,1,2,1002.2,1006.9,113.0,0.5,31.1,72.0,0.0,19,7,0,67.352
685,1,2,1002.2,1006.9,113.0,0.5,31.1,72.0,0.0,20,7,0,62.791
701,1,2,1002.8,1007.6,214.0,1.9,29.9,79.0,0.0,21,7,0,58.4533333333
702,1,2,1002.8,1007.6,214.0,1.9,29.9,79.0,0.0,22,7,0,51.2183333333
703,1,2,1002.8,1007.6,214.0,1.9,29.9,79.0,0.0,23,7,0,32.145
715,1,2,1003.8,1008.6,185.0,1.6,32.1,73.0,0.0,0,1,0,60.855
716,1,2,1003.8,1008.6,185.0,1.6,32.1,73.0,0.0,1,1,0,43.46
717,1,2,1003.8,1008.6,185.0,1.6,32.1,73.0,0.0,2,1,0,64.052
727,1,2,1003.0,1007.8,191.0,2.5,35.5,58.0,0.0,3,1,0,35.33
728,1,2,1003.0,1007.8,191.0,2.5,35.5,58.0,0.0,4,1,0,61.9014285714
729,1,2,1003.0,1007.8,191.0,2.5,35.5,58.0,0.0,5,1,0,45.8942857143
741,1,2,1001.0,1005.7,198.0,2.0,38.8,43.0,0.0,6,1,0,51.301875
742,1,2,1001.0,1005.7,198.0,2.0,38.8,43.0,0.0,7,1,0,101.735348837
743,1,2,1001.0,1005.7,198.0,2.0,38.8,43.0,0.0,8,1,0,173.28254902
757,1,2,1000.2,1005.0,79.0,4.1,37.6,50.0,0.0,9,1,0,73.8017647059
758,1,2,1000.2,1005.0,79.0,4.1,37.6,50.0,0.0,10,1,0,69.2020588235
759,1,2,1000.2,1005.0,79.0,4.1,37.6,50.0,0.0,11,1,0,72.9378125
775,1,2,1001.2,1006.0,80.0,2.8,35.4,53.0,0.0,12,1,0,56.0015789474
776,1,2,1001.2,1006.0,80.0,2.8,35.4,53.0,0.0,13,1,0,63.0097435897
777,1,2,1001.2,1006.0,80.0,2.8,35.4,53.0,0.0,14,1,0,94.2487096774
793,1,2,1001.9,1006.7,271.0,0.6,32.9,69.0,0.0,15,1,0,76.7976666667
794,1,2,1001.9,1006.7,271.0,0.6,32.9,69.0,0.0,16,1,0,67.3594285714
795,1,2,1001.9,1006.7,271.0,0.6,32.9,69.0,0.0,17,1,0,72.29
810,1,2,1000.9,1005.6,201.0,1.4,31.2,76.0,0.0,18,1,0,60.2334615385
811,1,2,1000.9,1005.6,201.0,1.4,31.2,76.0,0.0,19,1,0,82.448
812,1,2,1000.9,1005.6,201.0,1.4,31.2,76.0,0.0,20,1,0,63.7105555556
826,1,2,1001.4,1006.2,235.0,1.7,29.6,82.0,0.0,21,1,0,70.7810526316
827,1,2,1001.4,1006.2,235.0,1.7,29.6,82.0,0.0,22,1,0,64.6657894737
828,1,2,1001.4,1006.2,235.0,1.7,29.6,82.0,0.0,23,1,0,58.7955555556
840,1,2,1002.0,1006.8,200.0,2.7,31.9,72.0,0.0,0,2,0,58.295
841,1,2,1002.0,1006.8,200.0,2.7,31.9,72.0,0.0,1,2,0,76.3642857143
842,1,2,1002.0,1006.8,200.0,2.7,31.9,72.0,0.0,2,2,0,54.365
850,1,2,1001.0,1005.7,180.0,2.7,36.2,56.0,0.0,3,2,0,52.39
851,1,2,1001.0,1005.7,180.0,2.7,36.2,56.0,0.0,4,2,0,38.1675
852,1,2,1001.0,1005.7,180.0,2.7,36.2,56.0,0.0,5,2,0,65.7215384615
862,1,2,999.0,1003.7,254.0,2.2,38.4,43.0,0.0,6,2,0,61.4473684211
863,1,2,999.0,1003.7,254.0,2.2,38.4,43.0,0.0,7,2,0,87.4438461538
864,1,2,999.0,1003.7,254.0,2.2,38.4,43.0,0.0,8,2,0,88.0296153846
878,1,2,998.2,1002.9,291.0,1.5,38.8,42.0,0.0,9,2,0,88.3
879,1,2,998.2,1002.9,291.0,1.5,38.8,42.0,0.0,10,2,0,65.2795555556
880,1,2,998.2,1002.9,291.0,1.5,38.8,42.0,0.0,11,2,0,58.6631034483
895,1,2,999.6,1004.4,197.0,1.1,32.3,57.0,0.0,12,2,0,52.0784615385
896,1,2,999.6,1004.4,197.0,1.1,32.3,57.0,0.0,13,2,0,65.1758064516
897,1,2,999.6,1004.4,197.0,1.1,32.3,57.0,0.0,14,2,0,80.794375
913,1,2,1000.6,1005.4,352.0,0.7,31.5,61.0,0.0,15,2,0,55.7096969697
914,1,2,1000.6,1005.4,352.0,0.7,31.5,61.0,0.0,16,2,0,74.4490322581
915,1,2,1000.6,1005.4,352.0,0.7,31.5,61.0,0.0,17,2,0,86.186
930,1,2,1000.0,1004.7,201.0,1.3,30.2,75.0,0.0,18,2,0,108.3692
931,1,2,1000.0,1004.7,201.0,1.3,30.2,75.0,0.0,19,2,0,76.0696551724
932,1,2,1000.0,1004.7,201.0,1.3,30.2,75.0,0.0,20,2,0,85.6136842105
945,1,2,1000.6,1005.4,184.0,1.5,29.5,80.0,0.0,21,2,0,62.8436363636
946,1,2,1000.6,1005.4,184.0,1.5,29.5,80.0,0.0,22,2,0,55.4242857143
947,1,2,1000.6,1005.4,184.0,1.5,29.5,80.0,0.0,23,2,0,67.9918181818
957,1,2,1001.5,1006.3,233.0,3.1,31.9,72.0,0.0,0,3,0,35.155
958,1,2,1001.5,1006.3,233.0,3.1,31.9,72.0,0.0,1,3,0,65.6133333333
959,1,2,1001.5,1006.3,233.0,3.1,31.9,72.0,0.0,2,3,0,53.31
965,1,2,1000.5,1005.3,209.0,2.8,36.6,54.0,0.0,3,3,0,63.0714285714
966,1,2,1000.5,1005.3,209.0,2.8,36.6,54.0,0.0,4,3,0,53.592
967,1,2,1000.5,1005.3,209.0,2.8,36.6,54.0,0.0,5,3,0,39.483
976,1,2,998.8,1003.5,189.0,1.7,38.6,42.0,0.0,6,3,0,71.2118181818
977,1,2,998.8,1003.5,189.0,1.7,38.6,42.0,0.0,7,3,0,87.8513333333
978,1,2,998.8,1003.5,189.0,1.7,38.6,42.0,0.0,8,3,0,147.882727273
992,1,2,998.7,1003.4,240.0,2.8,38.2,42.0,0.0,9,3,0,72.5182926829
993,1,2,998.7,1003.4,240.0,2.8,38.2,42.0,0.0,10,3,0,79.0355555556
994,1,2,998.7,1003.4,240.0,2.8,38.2,42.0,0.0,11,3,0,66.0813793103
1010,1,2,1001.4,1006.2,135.0,1.6,31.5,55.0,0.0,12,3,0,76.1533333333
1011,1,2,1001.4,1006.2,135.0,1.6,31.5,55.0,0.0,13,3,0,68.8833333333
1012,1,2,1001.4,1006.2,135.0,1.6,31.5,55.0,0.0,14,3,0,63.4825
1028,1,2,1000.7,1005.5,221.0,2.0,30.8,58.0,0.0,15,3,0,66.7158536585
1029,1,2,1000.7,1005.5,221.0,2.0,30.8,58.0,0.0,16,3,0,75.7686111111
1030,1,2,1000.7,1005.5,221.0,2.0,30.8,58.0,0.0,17,3,0,92.715
1046,1,2,1001.1,1005.8,281.0,0.9,30.1,69.0,0.0,18,3,0,69.3
1047,1,2,1001.1,1005.8,281.0,0.9,30.1,69.0,0.0,19,3,0,73.7894736842
1048,1,2,1001.1,1005.8,281.0,0.9,30.1,69.0,0.0,20,3,0,79.2815384615
1060,1,2,1001.1,1005.9,222.0,1.4,29.5,75.0,0.0,21,3,0,61.0333333333
1061,1,2,1001.1,1005.9,222.0,1.4,29.5,75.0,0.0,22,3,0,59.8271428571
1062,1,2,1001.1,1005.9,222.0,1.4,29.5,75.0,0.0,23,3,0,50.09875
1076,1,2,1001.9,1006.7,242.0,1.7,31.9,70.0,0.0,0,4,0,68.315
1077,1,2,1001.9,1006.7,242.0,1.7,31.9,70.0,0.0,1,4,0,37.37
1078,1,2,1001.9,1006.7,242.0,1.7,31.9,70.0,0.0,2,4,0,47.93
1088,1,2,1001.5,1006.3,206.0,1.4,36.7,55.0,0.0,3,4,0,42.9957142857
1089,1,2,1001.5,1006.3,206.0,1.4,36.7,55.0,0.0,4,4,0,26.91
1090,1,2,1001.5,1006.3,206.0,1.4,36.7,55.0,0.0,5,4,0,87.4333333333
1098,1,2,1000.3,1005.0,202.0,3.3,38.6,43.0,0.0,6,4,0,54.54
1099,1,2,1000.3,1005.0,202.0,3.3,38.6,43.0,0.0,7,4,0,81.7425
1100,1,2,1000.3,1005.0,202.0,3.3,38.6,43.0,0.0,8,4,0,84.7814285714
1114,1,2,999.7,1004.5,128.0,2.0,38.0,44.0,0.0,9,4,0,78.4511111111
1115,1,2,999.7,1004.5,128.0,2.0,38.0,44.0,0.0,10,4,0,89.8325
1116,1,2,999.7,1004.5,128.0,2.0,38.0,44.0,0.0,11,4,0,59.2936363636
1132,1,2,1000.4,1005.2,135.0,1.7,34.7,54.0,0.0,12,4,0,67.8775
1133,1,2,1000.4,1005.2,135.0,1.7,34.7,54.0,0.0,13,4,0,64.3703703704
1134,1,2,1000.4,1005.2,135.0,1.7,34.7,54.0,0.0,14,4,0,60.041
1150,1,2,1001.5,1006.2,169.0,1.8,33.5,58.0,0.0,15,4,0,68.6138095238
1151,1,2,1001.5,1006.2,169.0,1.8,33.5,58.0,0.0,16,4,0,67.7161111111
1152,1,2,1001.5,1006.2,169.0,1.8,33.5,58.0,0.0,17,4,0,83.7095454545
1168,1,2,1001.3,1006.0,228.0,2.7,30.7,70.0,0.0,18,4,0,82.502962963
1169,1,2,1001.3,1006.0,228.0,2.7,30.7,70.0,0.0,19,4,0,79.0522857143
1170,1,2,1001.3,1006.0,228.0,2.7,30.7,70.0,0.0,20,4,0,81.4217391304
1183,1,2,1001.4,1006.2,220.0,1.8,29.6,72.0,0.0,21,4,0,70.15
1184,1,2,1001.4,1006.2,220.0,1.8,29.6,72.0,0.0,22,4,0,61.7781818182
1185,1,2,1001.4,1006.2,220.0,1.8,29.6,72.0,0.0,23,4,0,65.7738461538
1199,1,2,1002.9,1007.7,216.0,2.4,31.9,65.0,0.0,0,5,0,42.5133333333
1200,1,2,1002.9,1007.7,216.0,2.4,31.9,65.0,0.0,1,5,0,60.85
1201,1,2,1002.9,1007.7,216.0,2.4,31.9,65.0,0.0,2,5,0,84.1616666667
1211,1,2,1002.7,1007.4,300.0,2.3,36.3,49.0,0.0,3,5,0,39.8841666667
1212,1,2,1002.7,1007.4,300.0,2.3,36.3,49.0,0.0,4,5,0,224.144
1213,1,2,1002.7,1007.4,300.0,2.3,36.3,49.0,0.0,5,5,0,57.15
1223,1,2,1001.0,1005.7,27.0,2.4,38.3,43.0,0.0,6,5,0,57.6119047619
1224,1,2,1001.0,1005.7,27.0,2.4,38.3,43.0,0.0,7,5,0,69.265
1225,1,2,1001.0,1005.7,27.0,2.4,38.3,43.0,0.0,8,5,0,110.263478261
1240,1,2,1000.3,1005.1,82.0,5.4,38.0,44.0,0.0,9,5,0,79.8342222222
1241,1,2,1000.3,1005.1,82.0,5.4,38.0,44.0,0.0,10,5,0,71.5921428571
1242,1,2,1000.3,1005.1,82.0,5.4,38.0,44.0,0.0,11,5,0,68.4118181818
1257,1,2,1001.7,1006.5,98.0,2.3,34.2,57.0,0.0,12,5,0,61.9457142857
1258,1,2,1001.7,1006.5,98.0,2.3,34.2,57.0,0.0,13,5,0,68.2925581395
1259,1,2,1001.7,1006.5,98.0,2.3,34.2,57.0,0.0,14,5,0,77.2486666667
1275,1,2,1002.2,1007.0,184.0,1.5,32.8,63.0,0.0,15,5,0,81.3689361702
1276,1,2,1002.2,1007.0,184.0,1.5,32.8,63.0,0.0,16,5,0,88.295106383
1277,1,2,1002.2,1007.0,184.0,1.5,32.8,63.0,0.0,17,5,0,93.3222
1293,1,2,1001.5,1006.2,230.0,0.9,30.9,71.0,0.0,18,5,0,101.015675676
1294,1,2,1001.5,1006.2,230.0,0.9,30.9,71.0,0.0,19,5,0,77.8586666667
1295,1,2,1001.5,1006.2,230.0,0.9,30.9,71.0,0.0,20,5,0,64.4807407407
1309,1,2,1002.1,1006.9,222.0,1.5,29.3,77.0,0.0,21,5,0,110.0195
1310,1,2,1002.1,1006.9,222.0,1.5,29.3,77.0,0.0,22,5,0,53.7769230769
1311,1,2,1002.1,1006.9,222.0,1.5,29.3,77.0,0.0,23,5,0,49.1866666667
1324,1,2,1003.4,1008.2,213.0,1.0,31.9,66.0,0.0,0,6,0,128.28
1325,1,2,1003.4,1008.2,213.0,1.0,31.9,66.0,0.0,1,6,0,53.4457142857
1326,1,2,1003.4,1008.2,213.0,1.0,31.9,66.0,0.0,2,6,0,64.4766666667
1334,1,2,1003.3,1008.1,159.0,1.3,36.3,52.0,0.0,3,6,0,49.09
1335,1,2,1003.3,1008.1,159.0,1.3,36.3,52.0,0.0,4,6,0,59.0542857143
1336,1,2,1003.3,1008.1,159.0,1.3,36.3,52.0,0.0,5,6,0,56.6391666667
1343,1,2,1002.1,1006.9,50.0,4.0,37.0,47.0,0.0,6,6,0,49.7388235294
1344,1,2,1002.1,1006.9,50.0,4.0,37.0,47.0,0.0,7,6,0,62.884137931
1345,1,2,1002.1,1006.9,50.0,4.0,37.0,47.0,0.0,8,6,0,93.7236842105
1360,1,2,1000.6,1005.4,80.0,2.8,36.1,53.0,0.0,9,6,0,112.66390625
1361,1,2,1000.6,1005.4,80.0,2.8,36.1,53.0,0.0,10,6,0,130.592982456
1362,1,2,1000.6,1005.4,80.0,2.8,36.1,53.0,0.0,11,6,0,64.8084848485
1378,1,2,1001.9,1006.7,61.0,2.9,33.1,68.0,0.0,12,6,0,59.3892592593
1379,1,2,1001.9,1006.7,61.0,2.9,33.1,68.0,0.0,13,6,0,56.5736363636
1380,1,2,1001.9,1006.7,61.0,2.9,33.1,68.0,0.0,14,6,0,65.1628947368
1396,1,2,1003.0,1007.8,57.0,1.9,31.8,71.0,0.0,15,6,0,43.448
1397,1,2,1003.0,1007.8,57.0,1.9,31.8,71.0,0.0,16,6,0,23.5066666667
1398,1,2,1003.0,1007.8,57.0,1.9,31.8,71.0,0.0,17,6,0,166.030571429
1412,1,2,1002.7,1007.5,162.0,2.4,30.7,68.0,0.0,18,6,0,70.0282608696
1413,1,2,1002.7,1007.5,162.0,2.4,30.7,68.0,0.0,19,6,0,67.32375
1414,1,2,1002.7,1007.5,162.0,2.4,30.7,68.0,0.0,20,6,0,57.322
1428,1,2,1002.5,1007.3,125.0,1.9,29.5,68.0,0.0,21,6,0,83.3728571429
1429,1,2,1002.5,1007.3,125.0,1.9,29.5,68.0,0.0,22,6,0,87.2914285714
1430,1,2,1002.5,1007.3,125.0,1.9,29.5,68.0,0.0,23,6,0,84.148
1442,1,2,1003.9,1008.7,161.0,3.4,31.2,63.0,0.0,0,7,0,59.364
1443,1,2,1003.9,1008.7,161.0,3.4,31.2,63.0,0.0,1,7,0,53.3685714286
1444,1,2,1003.9,1008.7,161.0,3.4,31.2,63.0,0.0,2,7,0,49.6642857143
1451,1,2,1003.7,1008.5,105.0,1.0,34.8,50.0,0.0,3,7,0,44.19375
1452,1,2,1003.7,1008.5,105.0,1.0,34.8,50.0,0.0,4,7,0,59.6483333333
